namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Banten,Provinsi Banten,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,2989040250000
Provinsi Banten,Provinsi Banten,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,2984037365631
Provinsi Banten,Provinsi Banten,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,13845437311
Provinsi Banten,Provinsi Banten,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,5794200000
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,2397488403632
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,2013514721557
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,3807571997487
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,3450719366770
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,1794289757043
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,1503128370864.2
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,54. Belanja Lainnya,513. Belanja Bunga,Anggaran,1285894000
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,54. Belanja Lainnya,513. Belanja Bunga,Realisasi,1285893134
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,598567367600
